seq_rows,seq_cols,coeffs
175,28,0.09741927404108437
175,29,0.10468126498975808
175,30,0.04187439311852159
175,31,0.08038027236326081
175,32,0.11409543350637676
175,33,0.02379575843458032
175,34,0.1449447416186022
175,35,0.15031446325086037
175,36,0.06274682706065213
176,32,0.33015371861030235
176,33,0.0688569024446546
176,34,0.41942121579928465
176,36,0.1815681631457584
177,25,0.06049412976772047
177,26,0.10691202319518375
177,27,0.1072619957347916
177,28,0.14886416215656487
177,29,0.15996104425514177
177,30,0.0639873013709224
177,31,0.12282725381660128
177,35,0.22969208970307387
178,25,0.03958840140127432
178,26,0.06996507107590007
178,27,0.07019409913912897
178,28,0.09741927404108437
178,29,0.10468126498975808
178,30,0.04187439311852159
178,31,0.08038027236326081
178,32,0.11409543350637676
178,33,0.02379575843458032
178,34,0.1449447416186022
178,35,0.15031446325086037
178,36,0.06274682706065213
179,32,0.33015371861030235
179,33,0.0688569024446546
179,34,0.41942121579928465
179,36,0.1815681631457584
180,25,0.06049412976772047
180,26,0.10691202319518375
180,27,0.1072619957347916
180,28,0.14886416215656487
180,29,0.15996104425514177
180,30,0.0639873013709224
180,31,0.12282725381660128
180,35,0.22969208970307387
181,192,1.0
182,193,1.0
183,194,1.0
184,194,1.0
185,194,1.0
186,195,1.0
187,196,1.0
188,196,1.0
189,196,1.0
190,197,1.0
191,198,1.0
192,199,1.0
193,199,1.0
194,199,1.0
195,199,1.0
196,199,1.0
197,199,1.0
198,199,1.0
199,199,1.0
200,199,1.0
201,200,1.0
202,200,1.0
203,201,1.0
204,201,1.0
205,201,1.0
206,202,1.0
207,202,1.0
208,203,1.0
209,204,1.0
210,205,1.0
211,206,1.0
212,206,1.0
213,206,1.0
214,207,1.0
215,208,1.0
216,208,1.0
217,208,1.0
218,209,1.0
219,209,1.0
220,209,1.0
221,210,1.0
222,210,1.0
223,210,1.0
224,210,1.0
225,210,1.0
226,211,1.0
227,211,1.0
228,212,1.0
229,213,1.0
230,214,1.0
231,214,1.0
232,215,1.0
233,215,1.0
234,216,1.0
235,216,1.0
236,216,1.0
237,217,1.0
238,218,1.0
239,219,1.0
240,220,1.0
241,220,1.0
242,220,1.0
243,220,1.0
244,221,1.0
245,221,1.0
246,221,1.0
247,221,1.0
248,222,1.0
249,222,1.0
250,222,1.0
251,222,1.0
252,222,1.0
253,222,1.0
254,222,1.0
255,222,1.0
256,223,1.0
257,223,1.0
258,223,1.0
259,223,1.0
260,224,1.0
261,225,1.0
262,225,1.0
263,225,1.0
264,226,1.0
265,226,1.0
266,226,1.0
267,226,1.0
268,226,1.0
269,226,1.0
270,226,1.0
271,227,1.0
272,227,1.0
273,227,1.0
274,227,1.0
275,227,1.0
276,227,1.0
277,227,1.0
278,227,1.0
279,227,1.0
280,227,1.0
281,227,1.0
282,227,1.0
283,227,1.0
284,227,1.0
285,227,1.0
286,227,1.0
287,227,1.0
288,227,1.0
289,227,1.0
290,227,1.0
291,227,1.0
292,227,1.0
293,227,1.0
294,227,1.0
295,227,1.0
296,227,1.0
297,227,1.0
298,227,1.0
299,227,1.0
300,227,1.0
301,227,1.0
302,228,1.0
303,228,1.0
304,228,1.0
305,228,1.0
306,228,1.0
307,228,1.0
308,228,1.0
309,228,1.0
310,228,1.0
311,228,1.0
312,228,1.0
313,228,1.0
314,37,1.0
315,37,1.0
316,38,1.0
317,38,1.0
318,38,1.0
319,38,1.0
320,38,1.0
321,39,1.0
322,39,1.0
323,39,1.0
324,40,1.0
325,40,1.0
326,40,1.0
327,40,1.0
328,229,1.0
329,230,1.0
330,230,1.0
331,231,1.0
332,232,1.0
333,232,1.0
334,232,1.0
335,232,1.0
336,232,1.0
337,232,1.0
338,233,1.0
339,233,1.0
340,233,1.0
341,233,1.0
342,233,1.0
343,233,1.0
344,233,1.0
345,234,1.0
346,234,1.0
347,234,1.0
348,234,1.0
349,235,1.0
350,236,1.0
351,237,1.0
352,237,1.0
353,237,1.0
354,237,1.0
355,237,1.0
356,237,1.0
357,237,1.0
358,237,1.0
359,237,1.0
360,237,1.0
361,238,1.0
362,238,1.0
363,238,1.0
364,239,1.0
365,240,1.0
366,241,1.0
367,242,1.0
368,242,1.0
369,243,1.0
370,244,1.0
371,245,1.0
372,245,1.0
373,245,1.0
374,246,1.0
375,246,1.0
376,246,1.0
377,246,1.0
378,247,1.0
379,247,1.0
380,247,1.0
381,247,1.0
382,247,1.0
383,248,1.0
384,249,1.0
385,249,1.0
386,249,1.0
387,249,1.0
388,254,1.0
389,254,1.0
390,254,1.0
391,255,1.0
392,250,1.0
393,251,1.0
394,252,1.0
395,253,1.0
396,256,1.0
397,257,1.0
398,258,1.0
399,258,1.0
400,258,1.0
401,259,1.0
402,260,1.0
403,261,1.0
404,261,1.0
405,261,1.0
406,261,1.0
407,262,1.0
408,262,1.0
409,262,1.0
410,263,1.0
411,263,1.0
412,264,1.0
413,265,1.0
414,266,1.0
415,267,1.0
416,268,1.0
417,268,1.0
418,268,1.0
419,269,1.0
420,269,1.0
421,270,1.0
422,271,1.0
423,271,1.0
424,41,1.0
425,41,1.0
426,41,1.0
427,41,1.0
428,41,1.0
429,41,1.0
430,41,1.0
431,41,1.0
432,41,1.0
433,41,1.0
434,42,1.0
435,42,1.0
436,42,1.0
437,42,1.0
438,43,1.0
439,44,1.0
440,45,1.0
441,45,1.0
442,46,1.0
443,47,1.0
444,47,1.0
445,48,1.0
446,49,1.0
447,50,1.0
448,51,1.0
449,52,1.0
450,53,1.0
451,53,1.0
452,53,1.0
453,54,1.0
454,54,1.0
455,54,1.0
456,55,1.0
457,55,1.0
458,55,1.0
459,56,1.0
460,57,1.0
461,57,1.0
462,57,1.0
463,57,1.0
464,58,1.0
465,59,1.0
466,59,1.0
467,59,1.0
468,59,1.0
469,59,1.0
470,59,1.0
471,60,1.0
472,60,1.0
473,61,1.0
474,61,1.0
475,61,1.0
476,62,1.0
477,62,1.0
478,62,1.0
479,62,1.0
480,62,1.0
481,62,1.0
482,62,1.0
483,63,1.0
484,63,1.0
485,64,1.0
486,64,1.0
487,64,1.0
488,63,1.0
489,65,1.0
490,66,1.0
491,66,1.0
492,66,1.0
493,66,1.0
494,66,1.0
495,66,1.0
496,67,1.0
497,67,1.0
498,67,1.0
499,68,1.0
500,68,1.0
501,68,1.0
502,69,1.0
503,70,1.0
504,71,1.0
505,71,1.0
506,72,1.0
507,73,1.0
508,73,1.0
509,73,1.0
510,73,1.0
511,74,1.0
512,75,1.0
513,75,1.0
514,76,1.0
515,76,1.0
516,76,1.0
517,77,1.0
518,77,1.0
519,78,1.0
520,77,1.0
521,79,1.0
522,80,1.0
523,80,1.0
524,80,1.0
525,80,1.0
526,81,1.0
527,82,1.0
528,82,1.0
529,82,1.0
530,83,1.0
531,84,1.0
532,84,1.0
533,85,1.0
534,86,1.0
535,88,1.0
536,88,1.0
537,88,1.0
538,87,1.0
539,88,1.0
540,88,1.0
541,88,1.0
542,88,1.0
543,88,1.0
544,88,1.0
545,88,1.0
546,87,1.0
547,88,1.0
548,88,1.0
549,88,1.0
550,88,1.0
551,89,1.0
552,90,1.0
553,90,1.0
554,91,1.0
555,91,1.0
556,92,1.0
557,92,1.0
558,92,1.0
559,93,1.0
560,94,1.0
561,95,1.0
562,95,1.0
563,95,1.0
564,97,1.0
565,98,1.0
566,98,1.0
567,96,1.0
568,98,1.0
569,98,1.0
570,99,1.0
571,100,1.0
572,101,1.0
573,102,1.0
574,103,1.0
575,104,1.0
576,103,1.0
577,103,1.0
578,105,1.0
579,105,1.0
580,105,1.0
581,105,1.0
582,106,1.0
583,107,1.0
584,108,1.0
585,109,1.0
586,110,1.0
587,110,1.0
588,107,1.0
589,107,1.0
590,111,1.0
591,112,1.0
592,113,1.0
593,113,1.0
594,113,1.0
595,114,1.0
596,115,1.0
597,116,1.0
598,129,1.0
599,119,1.0
600,119,1.0
601,117,1.0
602,119,1.0
603,119,1.0
604,119,1.0
605,119,1.0
606,118,1.0
607,119,1.0
608,120,1.0
609,121,1.0
610,122,1.0
611,123,1.0
612,124,1.0
613,125,1.0
614,126,1.0
615,127,1.0
616,128,1.0
617,128,1.0
618,130,1.0
619,130,1.0
620,130,1.0
621,130,1.0
622,131,1.0
623,132,1.0
624,132,1.0
625,132,1.0
626,133,1.0
627,133,1.0
628,133,1.0
629,134,1.0
630,134,1.0
631,135,1.0
632,136,1.0
633,137,1.0
634,138,1.0
635,139,1.0
636,140,1.0
637,141,1.0
638,142,1.0
639,143,1.0
640,144,1.0
641,144,1.0
642,145,1.0
643,145,1.0
644,146,1.0
645,147,1.0
646,148,1.0
647,149,1.0
648,150,1.0
649,151,1.0
650,152,1.0
651,153,1.0
652,154,1.0
653,155,1.0
654,155,1.0
655,155,1.0
656,156,1.0
657,156,1.0
658,156,1.0
659,157,1.0
660,157,1.0
661,158,1.0
662,159,1.0
663,160,1.0
664,161,1.0
665,161,1.0
666,161,1.0
667,162,1.0
668,163,1.0
669,164,1.0
670,165,1.0
671,166,1.0
672,166,1.0
673,167,1.0
674,168,1.0
675,169,1.0
676,170,1.0
677,171,1.0
678,172,1.0
679,173,1.0
680,174,1.0
681,175,1.0
682,176,1.0
683,176,1.0
684,177,1.0
685,178,1.0
686,178,1.0
687,178,1.0
688,178,1.0
689,179,1.0
690,180,1.0
691,180,1.0
692,181,1.0
693,181,1.0
694,182,1.0
695,183,1.0
696,184,1.0
697,185,1.0
698,186,1.0
699,186,1.0
700,186,1.0
701,186,1.0
702,186,1.0
703,187,1.0
704,188,1.0
705,188,1.0
706,188,1.0
707,189,1.0
708,189,1.0
709,189,1.0
710,189,1.0
711,189,1.0
712,190,1.0
713,191,1.0
714,191,1.0
715,191,1.0
716,191,1.0
717,191,1.0
718,191,1.0
719,272,1.0
720,272,1.0
721,272,1.0
722,272,1.0
723,276,1.0
724,276,1.0
725,276,1.0
726,276,1.0
727,276,1.0
728,276,1.0
729,273,1.0
730,273,1.0
731,273,1.0
732,273,1.0
733,273,1.0
734,273,1.0
735,273,1.0
736,276,1.0
737,276,1.0
738,274,1.0
739,274,1.0
740,274,1.0
741,276,1.0
742,276,1.0
743,276,1.0
744,276,1.0
745,275,1.0
746,275,1.0
747,275,1.0
748,275,1.0
749,275,1.0
750,275,1.0
751,276,1.0
752,276,1.0
753,276,1.0
754,276,1.0
755,276,1.0
756,280,1.0
757,280,1.0
758,280,1.0
759,277,1.0
760,280,1.0
761,280,1.0
762,280,1.0
763,280,1.0
764,278,1.0
765,278,1.0
766,278,1.0
767,278,1.0
768,278,1.0
769,278,1.0
770,278,1.0
771,278,1.0
772,278,1.0
773,280,1.0
774,280,1.0
775,280,1.0
776,280,1.0
777,280,1.0
778,279,1.0
779,279,1.0
780,280,1.0
781,280,1.0
782,280,1.0
783,280,1.0
784,280,1.0
785,280,1.0
786,280,1.0
787,280,1.0
788,281,1.0
789,281,1.0
790,283,1.0
791,283,1.0
792,283,1.0
793,283,1.0
794,283,1.0
795,283,1.0
796,283,1.0
797,283,1.0
798,283,1.0
799,291,1.0
800,291,1.0
801,291,1.0
802,291,1.0
803,291,1.0
804,291,1.0
805,291,1.0
806,291,1.0
807,291,1.0
808,291,1.0
809,286,1.0
810,286,1.0
811,286,1.0
812,286,1.0
813,286,1.0
814,286,1.0
815,284,1.0
816,284,1.0
817,284,1.0
818,284,1.0
819,284,1.0
820,284,1.0
821,284,1.0
822,284,1.0
823,284,1.0
824,287,1.0
825,287,1.0
826,287,1.0
827,287,1.0
828,287,1.0
829,288,1.0
830,288,1.0
831,289,1.0
832,289,1.0
833,289,1.0
834,289,1.0
835,289,1.0
836,289,1.0
837,289,1.0
838,289,1.0
839,289,1.0
840,291,1.0
841,291,1.0
842,291,1.0
843,291,1.0
844,291,1.0
845,291,1.0
846,291,1.0
847,285,1.0
848,285,1.0
849,285,1.0
850,285,1.0
851,285,1.0
852,285,1.0
853,285,1.0
854,291,1.0
855,291,1.0
856,291,1.0
857,291,1.0
858,291,1.0
859,291,1.0
860,291,1.0
861,291,1.0
862,291,1.0
